category_id,group,category,subcategory,name_vi,name_en
CAT001,natural,landscape,mountain,Núi,Mountain
CAT002,natural,landscape,waterfall,Thác,Waterfall
CAT003,natural,landscape,cave,Hang động,Cave
CAT004,natural,coastal,beach,Biển,Beach
CAT005,natural,coastal,cape,Mũi đất,Cape
CAT006,heritage,historical,monument,Di tích,Monument
CAT007,heritage,historical,ruins,Di tích đổ nát,Ruins
CAT008,heritage,historical,archaeological_site,Di chỉ khảo cổ,Archaeological Site
CAT009,heritage,historical,historic_building,Công trình lịch sử,Historic Building
CAT010,heritage,religious,temple,Chùa/đền,Temple
CAT011,culture,museum,museum,Bảo tàng,Museum
CAT012,culture,arts,gallery,Phòng trưng bày,Gallery
CAT013,recreation,park,public_park,Công viên,Public Park
CAT014,recreation,amusement,theme_park,Công viên chủ đề,Theme Park
CAT015,recreation,amusement,water_park,Công viên nước,Water Park
CAT016,recreation,amusement,zoo,Vườn thú,Zoo
CAT017,scenic,viewpoint,viewpoint,Điểm ngắm cảnh,Viewpoint
CAT018,other,attraction,general_attraction,Điểm tham quan,General Attraction
